Section;Season;CPOM;FPOM_benthos;FPOM_seston;Epilithon
1;January;169.5;46.6;12.7;7.6
1;April;102.6;39.2;10.3;4.4
1;July;89.4;62.5;9.4;9.1
1;October;247.3;65.3;15.4;11.6
2;January;63.7;70.4;11.8;67.8
2;April;45.3;48.3;10.5;46.4
2;July;37.1;112.7;9.6;77.88
2;October;85.9;94.1;12.4;95.6
3;January;15.8;132.6;53.2;18.5
3;April;12.4;128.9;46.7;15.8
3;July;10.7;257.5;18.3;23.9
3;October;18.5;215.8;36.9;32.7
